kabupaten,primer_q1,primer_q2,primer_q3,primer_q4,primer_tahun,sekunder_q1,sekunder_q2,sekunder_q3,sekunder_q4,sekunder_tahun,tersier_q1,tersier_q2,tersier_q3,tersier_q4,tersier_tahun,pdrb_q1,pdrb_q2,pdrb_q3,pdrb_q4,pdrb_tahun
Biak Numfor,373.87,381.09,380.90,390.52,1526.38,175.60,176.75,178.44,185.19,715.98,1111.60,1148.78,1161.06,1189.99,4611.43,1661.07,1706.62,1720.40,1765.71,6853.80
Sarmi,285.84,292.51,295.90,304.75,1179.00,226.13,225.43,233.33,244.12,929.01,465.79,481.90,481.12,501.92,1930.73,977.76,999.84,1010.36,1050.79,4038.74
Keerom,295.51,303.24,311.28,314.57,1224.60,308.84,311.22,315.72,320.10,1255.88,318.65,328.78,327.85,339.02,1314.30,923.00,943.23,954.85,973.69,3794.78
Waropen,170.51,178.95,185.52,188.92,723.91,193.81,194.78,199.21,218.60,806.40,260.05,267.02,268.24,273.12,1068.43,624.37,640.76,652.96,680.65,2598.74
Supiori,81.58,82.88,85.61,90.48,340.54,105.03,108.18,109.24,113.60,436.05,128.87,135.08,134.57,136.86,535.38,315.48,326.14,329.42,340.93,1311.97
Mamberamo Raya,118.39,119.50,125.09,126.38,489.36,148.96,149.93,153.06,162.34,614.28,318.29,329.67,327.68,340.37,1316.00,585.63,599.10,605.83,629.09,2419.65
Kota Jayapura,582.82,607.03,609.71,624.63,2424.18,2576.39,2594.69,2701.66,2780.67,10653.40,6997.17,7247.44,7314.37,7575.26,29134.23,10156.37,10449.15,10625.73,10980.56,42211.81
Merauke,1196.73,1205.93,1256.18,1278.26,4937.09,1173.92,1208.29,1239.72,1280.51,4902.44,2870.25,2948.62,2982.41,3111.16,11912.45,5240.90,5362.84,5478.31,5669.93,21751.97
Boven Digoel,407.38,419.23,430.27,426.53,1683.40,667.84,687.02,703.11,724.81,2782.78,407.86,420.41,434.55,447.65,1710.47,1483.08,1526.66,1567.93,1598.98,6176.65
Mappi,180.98,185.89,188.02,188.12,743.01,366.01,389.43,392.98,417.67,1566.08,435.74,450.28,449.13,464.33,1799.48,982.74,1025.61,1030.12,1070.12,4108.58
Asmat,143.57,146.87,142.67,147.79,580.91,319.87,323.83,335.71,362.64,1342.04,438.52,447.01,432.00,442.50,1760.02,901.96,917.70,910.38,952.93,3682.97
Mimika,26468.11,33323.95,31413.80,24991.32,116197.18,812.12,868.13,919.52,956.24,3556.00,2749.20,2805.42,2839.47,2932.31,11326.40,30029.42,36997.50,35172.79,28879.87,131079.58
Dogiyai,121.51,122.20,127.77,127.49,498.97,67.21,70.92,74.60,77.03,289.76,228.32,233.92,235.45,240.88,938.57,417.05,427.04,437.82,445.40,1727.31
Deiyai,85.79,86.85,89.07,89.09,350.80,167.67,171.73,178.51,191.57,709.48,187.38,192.87,196.83,205.48,782.55,440.85,451.45,464.40,486.14,1842.83
Nabire,1397.18,1438.42,1486.32,1510.86,5832.78,670.20,703.03,730.76,742.98,2846.98,1727.49,1823.65,1891.74,1995.01,7437.89,3794.88,3965.10,4108.81,4248.86,16117.65
Paniai,579.60,577.59,579.26,591.54,2327.99,437.59,449.69,467.62,479.07,1833.97,346.97,362.37,372.14,389.89,1471.37,1364.16,1389.65,1419.02,1460.50,5633.33
Intan Jaya,87.99,88.69,90.10,91.81,358.60,151.06,153.83,156.80,160.18,621.87,137.31,142.65,143.74,148.81,572.51,376.36,385.17,390.65,400.80,1552.98
Puncak,59.17,58.57,60.08,58.13,235.94,164.31,175.29,184.19,191.73,715.52,224.94,229.44,228.53,232.32,915.23,448.42,463.29,472.80,482.18,1866.70
Puncak Jaya,110.54,114.33,115.26,115.15,455.28,125.82,131.49,135.47,137.91,530.68,189.35,196.30,203.79,210.34,799.78,425.70,442.12,454.51,463.40,1785.74
Nduga,86.91,87.68,89.47,85.80,349.86,123.24,119.29,132.24,164.82,539.60,206.32,216.29,205.03,218.58,846.22,416.46,423.26,426.75,469.21,1735.68
Jayawijaya,361.54,384.19,402.85,408.10,1556.67,390.52,477.49,460.13,502.74,1830.88,2081.41,2216.73,2219.08,2257.60,8774.82,2833.46,3078.41,3082.06,3168.44,12162.37
Lanny Jaya,124.44,130.75,143.88,141.04,540.12,178.21,172.22,169.84,186.31,706.57,338.51,395.67,394.45,385.31,1513.93,641.16,698.64,708.16,712.66,2760.62
Tolikara,126.82,127.68,129.44,132.89,516.82,122.56,124.94,130.44,131.93,509.86,309.47,319.92,324.42,327.30,1281.11,558.84,572.54,584.30,592.11,2307.79
Mamberamo Tengah,64.52,68.21,72.75,70.74,276.22,110.99,100.51,101.95,122.10,435.56,232.83,238.18,244.70,243.20,958.91,408.34,406.90,419.39,436.05,1670.68
Yalimo,99.87,101.52,103.69,100.75,405.83,112.51,108.92,110.75,117.39,449.57,236.28,245.64,257.57,253.52,993.01,448.66,456.08,472.01,471.66,1848.41
Yahukimo,163.22,167.52,173.41,178.05,682.18,159.48,166.20,183.06,192.54,701.28,492.12,517.59,516.72,525.22,2051.65,814.82,851.31,873.18,895.81,3435.11
